Mes,Año,Observado,ACCESS-CM2_r1i1p1f1,ACCESS-ESM1-5_r1i1p1f1,ACCESS-ESM1-5_r2i1p1f1,AWI-CM-1-1-MR_r1i1p1f1,BCC-CSM2-MR_r1i1p1f1,CAMS-CSM1-0_r1i1p1f1,CAMS-CSM1-0_r2i1p1f1,CanESM5-CanOE_r1i1p2f1,CanESM5_r1i1p1f1,CanESM5_r2i1p1f1,CanESM5_r3i1p1f1,CanESM5_r4i1p1f1,CanESM5_r5i1p1f1,CESM2-WACCM_r3i1p1f1,CESM2_r1i1p1f1,CESM2_r2i1p1f1,CMCC-CM2-SR5_r1i1p1f1,CMCC-ESM2_r1i1p1f1,EC-Earth3-Veg-LR_r1i1p1f1,EC-Earth3-Veg_r2i1p1f1,EC-Earth3_r1i1p1f1,FGOALS-f3-L_r1i1p1f1,FIO-ESM-2-0_r1i1p1f1,FIO-ESM-2-0_r2i1p1f1,FIO-ESM-2-0_r3i1p1f1,GFDL-ESM4_r1i1p1f1,GISS-E2-1-G_r1i1p1f2,HadGEM3-GC31-LL_r1i1p1f3,IITM-ESM_r1i1p1f1,INM-CM4-8_r1i1p1f1,INM-CM5-0_r1i1p1f1,KACE-1-0-G_r1i1p1f1,MCM-UA-1-0_r1i1p1f2,MIROC-ES2L_r1i1p1f2,MIROC6_r1i1p1f1,MIROC6_r2i1p1f1,MIROC6_r3i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR_r1i1p1f1,MPI-ESM1-2-LR_r2i1p1f1,MPI-ESM1-2-LR_r3i1p1f1,MPI-ESM1-2-LR_r4i1p1f1,MPI-ESM1-2-LR_r5i1p1f1,MRI-ESM2-0_r1i1p1f1,NESM3_r1i1p1f1,NESM3_r2i1p1f1,NorESM2-LM_r1i1p1f1,NorESM2-MM_r1i1p1f1,TaiESM1_r1i1p1f1,UKESM1-0-LL_r1i1p1f2
1,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1990,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,0.2,0.0,0.0,0.0,0.0,12.5,0.0,0.0,8.0,0.5,0.0,0.0,0.0,5.5,32.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.5,5.5,0.5,0.0,0.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1.0,5.9,8.0,0.5,0.0
4,1990,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,88.0,0.0,1.5,27.5,22.0,7.5,67.5,1.5,0.0,0.0,25.0,0.0,9.0,0.0,1.5,0.0,0.0,0.0,0.5,3.0,5.9,0.0,6.0,6.0,1.5,25.0,1.5,0.0,0.0,0.0,0.0,49.5,0.0,88.0,17.0,5.9,22.0,27.5,7.5
5,1990,23.0,69.0,117.5,57.5,184.5,15.8,85.0,0.0,127.2,69.0,134.1,202.5,0.0,0.0,10.0,57.5,127.2,15.0,184.5,5.5,202.5,1.0,202.5,42.0,87.5,0.0,202.5,81.7,42.0,15.8,57.5,57.5,5.5,0.0,85.0,184.5,0.0,64.0,134.1,85.0,15.0,24.0,23.0,15.8,26.5,47.5,117.5,0.0,202.5,0.0,202.5
6,1990,1.0,348.0,99.0,72.5,103.0,34.5,72.0,103.0,128.0,72.5,64.5,145.0,401.0,121.0,59.0,48.5,224.0,49.0,401.0,224.0,59.0,224.0,99.0,128.0,145.0,120.0,99.0,145.0,128.0,166.5,83.2,72.0,121.0,99.0,59.0,1.0,48.5,64.5,149.0,224.0,53.9,64.5,145.0,49.0,48.5,59.0,64.5,145.0,190.0,48.5,128.0
7,1990,51.0,98.5,32.5,3.4,70.6,9.0,32.5,98.5,3.4,61.8,0.0,156.3,156.3,94.5,50.5,43.5,9.0,62.0,94.5,9.5,61.8,0.0,149.5,156.3,34.0,149.5,149.5,149.5,9.5,156.3,159.0,70.6,175.0,27.7,61.8,55.0,5.5,61.8,54.5,50.5,211.0,66.5,83.0,0.0,34.0,61.5,94.5,61.5,156.3,5.5,3.4
8,1990,41.0,67.0,64.0,0.0,135.6,19.8,67.0,93.5,146.0,0.0,64.0,64.0,0.0,91.5,86.5,91.5,0.0,135.6,91.5,11.5,104.5,171.0,49.5,29.0,91.5,77.2,34.0,135.6,67.0,47.0,171.0,29.0,47.0,41.0,93.5,41.0,15.0,39.5,0.0,171.0,104.5,146.0,10.0,0.0,66.5,111.0,86.5,135.6,146.0,49.5,91.5
9,1990,19.5,30.9,0.0,0.0,24.0,9.5,10.8,3.5,18.5,8.5,132.1,13.5,19.5,109.5,8.5,132.1,16.0,132.1,24.0,44.0,132.1,16.0,11.0,13.5,123.0,10.8,0.0,15.5,9.5,15.5,16.0,0.0,44.0,0.0,21.0,5.0,0.0,2.0,10.8,24.0,21.0,24.0,123.0,9.5,22.5,44.0,132.1,3.0,44.0,15.5,8.5
10,1990,16.0,0.0,0.0,16.0,113.5,0.0,67.0,5.4,21.0,0.0,0.0,0.0,57.5,27.0,0.0,67.0,77.0,16.0,0.0,67.0,0.0,2.5,0.0,23.0,27.0,0.0,0.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,16.0,27.0,113.5,23.0,0.0,0.0,34.5,0.0,23.0,4.0,113.5,0.0
11,1990,0.0,33.0,0.0,0.0,15.5,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,10.0,0.0,5.0,1.5,0.0,2.0,0.0,0.0,0.0,0.0,1.5,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,8.0
12,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,14.2,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,14.2,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
3,1991,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,5.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,5.9,21.9,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,5.5,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0
4,1991,7.5,0.0,88.0,1.5,25.0,0.0,0.0,27.5,88.0,0.0,0.0,0.0,0.0,9.0,17.0,49.5,0.0,0.0,88.0,17.0,9.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,27.5,7.5,88.0,0.0,17.0,0.0,1.5,0.0,1.0,1.5,6.0,0.0,21.5,0.0,17.0,0.0,67.5,0.0,1.5,25.0,0.0,1.0,5.9
5,1991,47.5,184.5,24.0,7.5,127.2,69.0,7.0,127.2,85.0,85.0,81.7,69.0,57.5,15.0,7.5,10.0,0.0,87.5,117.5,87.5,26.5,10.0,0.0,24.0,184.5,0.0,127.2,24.0,0.0,202.5,3.0,24.0,14.0,0.0,184.5,42.0,64.0,134.1,81.7,1.0,0.0,69.0,3.0,26.5,15.0,64.0,15.0,24.0,57.5,202.5,0.0
6,1991,190.0,53.9,53.9,328.2,64.5,22.0,83.2,328.2,49.0,22.0,145.0,0.0,107.5,22.0,72.5,348.0,166.5,401.0,121.0,1.0,45.0,64.5,48.5,348.0,348.0,0.0,328.2,120.0,120.0,328.2,128.0,401.0,59.0,22.0,149.0,107.5,166.5,190.0,49.0,103.0,107.5,45.0,48.5,22.0,145.0,83.2,149.0,120.0,149.0,64.5,3.5
7,1991,70.6,55.0,43.5,66.5,149.5,211.0,34.4,51.0,43.5,50.5,156.3,34.4,66.5,50.5,175.0,54.5,55.0,94.5,149.5,98.5,9.5,43.5,34.4,70.6,83.0,55.0,156.3,61.5,94.5,62.0,62.0,175.0,32.5,54.5,159.0,62.0,61.5,5.5,118.0,17.0,51.0,27.7,43.5,98.5,211.0,118.0,55.0,94.5,0.0,32.5,43.5
8,1991,11.5,41.9,49.5,66.5,104.5,64.0,51.0,10.0,135.6,77.2,67.0,34.0,47.0,51.0,29.0,41.9,51.0,93.5,104.5,49.5,67.0,17.5,0.0,93.5,146.0,17.5,66.5,15.0,77.2,8.0,86.5,39.5,0.0,0.0,51.0,34.0,10.0,135.6,19.8,47.0,0.0,49.5,19.8,11.5,111.0,0.0,146.0,51.0,86.5,17.5,49.5
9,1991,30.9,44.0,11.0,132.1,9.5,2.0,123.0,24.0,0.0,44.0,30.9,16.0,11.0,24.0,0.0,123.0,44.0,3.5,21.0,109.5,21.0,18.5,0.0,132.1,44.0,1.0,2.0,0.0,8.5,16.0,16.0,132.1,123.0,0.0,44.0,8.5,109.5,0.0,19.5,132.1,44.0,16.0,0.0,26.5,5.0,2.0,123.0,24.5,18.0,24.5,0.0
10,1991,21.0,0.0,27.0,77.0,0.0,27.0,2.5,0.0,57.5,5.4,77.0,29.0,5.4,16.0,2.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,113.5,5.4,10.0,4.0,0.0,0.0,27.0,0.0,67.0,5.4,8.0,0.0,27.0,0.0,113.5,57.5,5.4,0.0,4.0,67.0,27.0,5.4,29.0,5.4,4.0,23.0,16.0,113.5
11,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,33.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,3.5,15.5,8.0,0.0,0.0,0.0
12,1991,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0
1,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0
3,1992,21.9,0.0,1.0,0.2,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.5,8.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,21.9,0.0,21.9,0.0,8.0,0.0,0.0,5.5,0.0,0.0,0.0,0.2,1.0,0.5,0.0,21.9,0.0,0.0,0.0,0.0,0.0,6.5,0.0,21.9,0.0,0.0,1.0
4,1992,21.5,1.5,0.5,1.5,0.0,17.0,88.0,3.0,0.0,0.0,21.5,49.5,0.0,0.5,6.0,22.0,0.0,0.0,22.0,7.5,0.0,0.0,7.5,9.0,88.0,0.0,0.0,0.0,5.9,6.0,22.0,7.5,0.0,0.0,22.0,0.0,27.5,0.0,1.5,0.0,0.0,7.5,3.0,0.0,3.0,7.5,6.0,0.0,0.5,0.0,0.0
5,1992,127.2,0.0,0.0,0.0,15.8,134.1,7.5,0.0,0.0,81.7,127.2,184.5,3.0,184.5,26.5,202.5,55.5,15.8,134.1,64.0,10.0,42.0,7.0,0.0,42.0,1.0,23.0,0.0,85.0,69.0,202.5,14.0,10.0,87.5,26.5,47.5,1.0,7.0,10.0,47.5,42.0,47.5,26.5,7.5,10.0,87.5,26.5,42.0,7.0,7.5,15.0
6,1992,224.0,328.2,34.5,53.9,121.0,348.0,1.0,1.0,328.2,0.0,107.5,224.0,120.0,190.0,83.2,49.0,49.0,224.0,64.5,59.0,120.0,120.0,64.5,145.0,34.5,59.0,45.0,1.0,190.0,72.5,348.0,53.9,21.0,128.0,72.5,72.0,49.0,224.0,22.0,145.0,72.0,49.0,78.5,145.0,21.0,99.0,83.2,53.9,3.5,103.0,1.0
7,1992,5.5,62.0,61.5,98.5,2.4,159.0,118.0,62.0,70.6,66.5,55.0,62.0,34.0,43.5,211.0,55.0,43.5,149.5,159.0,159.0,94.5,5.5,9.0,94.5,5.5,211.0,66.5,62.0,43.5,0.0,83.0,34.4,70.6,0.0,0.0,9.0,17.0,159.0,34.4,70.6,62.0,50.5,159.0,62.0,9.0,50.5,62.0,66.5,34.4,211.0,61.5
8,1992,93.5,0.0,51.0,0.0,10.0,171.0,10.0,34.0,77.2,34.0,135.6,91.5,0.0,39.5,0.0,0.0,69.5,41.0,86.5,91.5,0.0,93.5,41.0,51.0,0.0,135.6,10.0,19.8,8.0,19.8,0.0,171.0,49.5,135.6,49.5,171.0,93.5,86.5,69.5,146.0,86.5,93.5,49.5,77.2,51.0,49.5,93.5,17.5,15.0,91.5,0.0
9,1992,22.5,0.0,123.0,19.5,16.0,19.5,18.5,3.0,10.8,3.5,15.5,123.0,0.0,132.1,22.5,26.5,109.5,9.5,22.5,0.0,15.5,132.1,13.5,19.5,3.0,16.0,13.5,0.0,132.1,9.5,2.0,24.5,0.0,44.0,10.8,123.0,11.0,19.5,8.5,123.0,1.0,0.0,24.5,132.1,0.0,0.0,0.0,19.5,2.0,21.0,132.1
10,1992,0.0,0.0,67.0,0.0,0.0,0.0,34.5,0.0,0.0,0.0,27.0,67.0,0.0,77.0,4.0,0.0,0.0,0.0,0.0,27.0,0.0,4.0,34.5,57.5,0.0,113.5,5.4,0.0,113.5,0.0,8.0,2.5,23.0,23.0,0.0,16.0,21.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0
11,1992,5.7,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,3.5,10.0,10.0,0.0,0.0,15.5,0.0,3.5,0.0,0.0,0.0,3.5,2.0,10.0,0.0,0.0,33.0,0.0,0.0,1.5,0.0,0.0,8.0,5.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
12,1992,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,1.9,0.0,14.2,14.2,0.0,1.9
1,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1993,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1993,0.0,0.0,5.9,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,21.9,0.0,12.5,12.5,0.5,0.5,8.0,32.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,21.9,0.0,0.0,0.0,6.5,0.0,0.0,0.0
4,1993,67.5,1.0,0.0,0.0,1.0,7.5,0.0,0.0,3.0,7.5,27.5,21.5,0.0,3.0,0.0,0.0,1.5,27.5,27.5,21.5,1.5,22.0,0.0,0.0,0.0,27.5,0.5,7.5,0.0,0.0,5.9,0.0,3.0,67.5,5.9,21.5,0.0,17.0,0.0,88.0,0.0,0.0,1.5,0.0,21.5,25.0,0.0,27.5,27.5,0.0,0.0
5,1993,87.5,202.5,42.0,23.0,42.0,55.5,57.5,0.0,10.0,47.5,23.0,47.5,23.0,42.0,15.8,85.0,26.5,0.0,47.5,134.1,117.5,15.8,47.5,3.0,0.0,81.7,87.5,87.5,69.0,184.5,0.0,0.0,69.0,1.0,24.0,69.0,55.5,24.0,14.0,57.5,202.5,5.5,85.0,85.0,117.5,127.2,47.5,15.0,117.5,85.0,69.0
6,1993,22.0,45.0,128.0,0.0,34.5,145.0,103.0,190.0,83.2,224.0,99.0,34.5,45.0,45.0,149.0,224.0,72.5,145.0,34.5,328.2,128.0,49.0,348.0,48.5,1.0,149.0,53.9,348.0,78.5,348.0,3.5,59.0,83.2,190.0,224.0,348.0,21.0,83.2,145.0,99.0,0.0,121.0,121.0,120.0,53.9,34.5,72.5,34.5,78.5,1.0,120.0
7,1993,34.0,83.0,34.0,61.5,32.5,34.0,175.0,211.0,51.0,17.0,17.0,55.0,51.0,34.4,43.5,211.0,32.5,51.0,0.0,118.0,98.5,156.3,9.5,43.5,66.5,62.0,34.0,32.5,61.8,27.7,61.8,61.8,0.0,55.0,34.4,9.5,3.4,83.0,34.0,211.0,5.5,94.5,66.5,83.0,32.5,175.0,0.0,5.5,43.5,34.4,17.0
8,1993,51.0,91.5,41.0,19.8,67.0,77.2,15.0,111.0,86.5,111.0,49.5,10.0,77.2,86.5,41.9,171.0,66.5,8.0,34.0,86.5,0.0,67.0,34.0,19.8,51.0,47.0,111.0,104.5,49.5,93.5,135.6,146.0,0.0,146.0,8.0,146.0,19.8,0.0,51.0,51.0,67.0,15.0,67.0,41.9,0.0,135.6,67.0,34.0,0.0,135.6,171.0
9,1993,8.5,10.8,0.0,30.9,18.5,21.0,24.0,109.5,30.9,26.5,10.8,30.9,10.8,15.5,9.5,22.5,0.0,0.0,3.0,5.0,30.9,123.0,10.8,0.0,19.5,11.0,3.0,123.0,19.5,3.5,0.0,16.0,2.0,22.5,0.0,30.9,16.0,30.9,109.5,13.5,0.0,30.9,16.0,3.0,19.5,21.0,24.5,9.5,30.9,10.8,26.5
10,1993,8.0,57.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,113.5,10.0,8.0,2.5,16.0,0.0,27.0,0.0,0.0,0.0,34.5,77.0,57.5,8.0,0.0,5.4,29.0,27.0,27.0,67.0,113.5,5.4,29.0,4.0,67.0,0.0,0.0,0.0,23.0,0.0,16.0,8.0,4.0,16.0,29.0,21.0
11,1993,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,5.0,33.0,5.7,0.0,1.5,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8.0,15.5
12,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.9,0.0
1,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1994,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,5.9,1.0,5.5,0.0,0.5,0.0,0.0,0.0,1.0,12.5,0.0,0.5,0.0,0.5,0.5,0.0,5.9,6.5,0.0,0.0,0.0,5.5,0.0,8.0,0.0,0.0,21.9,0.0,0.0,0.0,5.9,1.0,5.9,0.0,0.0,0.0,0.0,32.0,0.0,0.0,6.5,0.0
4,1994,0.0,22.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,6.0,6.0,7.5,0.0,5.9,0.0,1.0,21.5,17.0,0.0,0.0,0.0,0.0,6.0,7.5,0.0,1.0,17.0,3.0,67.5,0.0,0.0,0.0,88.0,17.0,0.0,1.5,3.0,3.0,0.0,6.0,5.9,0.0,0.0,0.0,0.0,9.0,7.5,0.0,3.0,1.5,0.0
5,1994,64.0,117.5,7.0,127.2,57.5,87.5,55.5,184.5,117.5,57.5,69.0,26.5,15.8,3.0,0.0,7.0,7.0,85.0,24.0,26.5,0.0,57.5,23.0,7.0,64.0,69.0,47.5,15.8,26.5,0.0,0.0,15.8,47.5,134.1,117.5,15.0,7.5,42.0,0.0,7.0,5.5,14.0,202.5,117.5,57.5,42.0,134.1,7.5,15.8,64.0,10.0
6,1994,21.0,224.0,59.0,64.5,401.0,166.5,78.5,401.0,107.5,34.5,121.0,45.0,21.0,48.5,45.0,21.0,190.0,0.0,21.0,48.5,34.5,328.2,22.0,72.0,59.0,34.5,107.5,64.5,64.5,120.0,149.0,45.0,224.0,83.2,64.5,3.5,121.0,21.0,107.5,107.5,49.0,34.5,224.0,99.0,1.0,48.5,3.5,45.0,224.0,128.0,224.0
7,1994,156.3,43.5,156.3,70.6,55.0,118.0,9.5,156.3,94.5,94.5,32.5,51.0,54.5,9.0,83.0,34.4,43.5,34.0,9.0,55.0,54.5,159.0,32.5,62.0,27.7,0.0,83.0,83.0,9.0,211.0,54.5,55.0,34.4,9.5,17.0,61.8,98.5,70.6,51.0,9.0,43.5,70.6,149.5,54.5,61.5,98.5,51.0,0.0,94.5,159.0,175.0
8,1994,17.5,0.0,39.5,51.0,47.0,146.0,0.0,41.0,17.5,69.5,34.0,8.0,91.5,93.5,8.0,29.0,41.9,41.9,47.0,19.8,0.0,77.2,64.0,34.0,86.5,0.0,0.0,11.5,47.0,0.0,41.0,135.6,104.5,93.5,0.0,0.0,146.0,0.0,135.6,41.9,77.2,0.0,17.5,34.0,8.0,8.0,8.0,29.0,135.6,111.0,64.0
9,1994,24.5,0.0,5.0,5.0,0.0,24.0,0.0,0.0,21.0,16.0,21.0,21.0,13.5,22.5,19.5,3.5,18.5,0.0,15.5,123.0,9.5,3.5,132.1,18.5,24.5,109.5,24.5,8.5,30.9,16.0,26.5,24.0,30.9,21.0,8.5,18.5,30.9,0.0,26.5,26.5,30.9,21.0,9.5,11.0,15.5,8.5,0.0,18.0,123.0,26.5,5.0
10,1994,0.0,4.0,0.0,67.0,10.0,113.5,10.0,0.0,0.0,34.5,0.0,0.0,0.0,4.0,0.0,0.0,57.5,0.0,5.4,29.0,29.0,5.4,21.0,0.0,113.5,67.0,0.0,16.0,57.5,57.5,0.0,4.0,0.0,4.0,77.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5,0.0,0.0,0.0,10.0,0.0,0.0
11,1994,0.0,0.0,0.0,0.0,0.0,33.0,1.5,15.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,1.5,1.5,1.5,0.0,2.0,10.0,15.5,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,0.0,5.0,0.0,10.0,0.0,3.5,0.0,2.0
12,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1995,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1995,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
